# hyperhyper-eval: 1
# title: SuperSim (similarity), Swedish
# source-url: https://spraakbanken.gu.se/resurser/data/supersim-superlim.zip
# source-sha256: 319e731c2d0801a7bc0abed1ef029f64b919b34614ec6e5f68a787888ea702fd
# license: CC-BY-4.0
# license-evidence: CC BY 4.0 -- stated in readme.txt *inside* supersim-superlim.zip: "Data for 'SuperSim: a test set for word similarity and relatedness in Swedish', v1; Simon Hengchen, Nina Tahmasebi; University of Gothenburg; DOI 10.5281/zenodo.4660084; CC BY 4.0 to Hengchen/Tahmasebi"
# citation: Hengchen, Simon and Nina Tahmasebi (2021). SuperSim: a test set for word similarity and relatedness in Swedish. Proceedings of NoDaLiDa 2021, Reykjavik.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected columns 'Word 1', 'Word 2' and 'Average' from supersim_superlim/data/gold_similarity.tsv; the five per-annotator columns are not carried over (the package scores against the aggregate)
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 1360; bundled rows: 1280.
#   dropped-multitoken: 63
#   dropped-self_pair: 1
#   dropped-duplicate: 16
word1	word2	score
hus	nyckel-	0.0
flotta	armé	5.2
aktie	leva	0.0
skapa	tänka	0.0
slinga	bälte	0.2
film	popcorn	0.0
maskin	båt	1.0
botten	topp	0.2
lera	smuts	2.8
järnväg	staket	0.0
helig	sex	0.0
bi	myra	2.0
natt	gryning	0.8
älskare	gräl	0.0
älskare	gnabb	0.0
avgörande	viktig	7.6
värde	tro	0.0
konservburk	metall	0.4
student	elev	6.6
sten	jazz	0.0
marijuana	ört	1.4
fråga	åberopa	0.2
moster	brorson	0.2
förstå	lyssna	1.8
mat	tupp	0.0
sju	serier	0.0
middag	soppa	1.8
bråka	övertala	1.0
företag	industri	3.4
tillkännagivande	produktion	0.0
dusch	åskväder	0.0
guvernör	kontor	0.0
formel	logga	0.0
molekyl	luft	0.0
mord	dråp	6.0
bråka	rationalisera	0.0
Gud	djävul	0.2
andra	minut	0.0
välja	utse	7.2
era	årtionde	2.6
knapp	sällsynt	2.8
bok	litteratur	4.8
kompetens	förmåga	7.0
utdelning	kalkylering	0.0
möjlighet	flicka	0.0
smart	intelligent	9.0
dryck	bil	0.0
närvara	anlända	0.4
läkare	doktor	8.8
observation	arkitektur	0.0
fara	sjukdom	0.4
pengar	besatthet	0.0
advokat	jurist	6.6
brudgum	brud	4.2
snö	väder	1.0
uppmärksamhet	medvetenhet	3.8
riktning	kombination	0.0
bevarande	värld	0.0
ansvar	försäkring	0.0
porträttera	meddela	0.0
båt	bil	1.0
förare	pilot	3.6
skaldjur	mat	1.6
utvidga	växa	5.4
gräs	mossa	1.4
vilja	välja	0.0
son	far	0.6
tillträde	biljett	2.2
lycka	fred	0.6
moral	äktenskap	0.0
tappa	misslyckas	0.0
burk	flaska	3.0
far	bror	1.4
pengar	tvätta	0.0
bibel	psalm	2.0
smutsig	snål	0.0
rapportera	tjäna	0.0
klassrum	hall	1.2
hål	fru	0.0
fönster	dörr	1.4
ben	armbåge	0.8
burk	apparat	0.0
flod	ström	2.4
boll	korg	0.0
energi	kris	0.0
bil	flyg	1.0
märklig	udda	8.0
bok	bibel	3.2
djup	magnitud	0.6
djup	omfattning	2.2
styrka	kanske	0.0
trä	logga	0.0
vatten	läckage	0.0
tänka	besluta	0.2
ömtålig	kylig	0.0
video-	arkiv	0.4
tillförlitlig	säker	6.8
produktion	vandra	0.0
Jerusalem	palestinsk	1.2
dator	internet	0.4
lägenhet	hotell	1.0
låna	vilja	0.0
kontrollera	rättfärdiga	0.0
skog	kyrkogård	0.0
organ	lever	2.6
bild	yta	0.6
bil	taxi	3.8
badrum	sovrum	1.6
ö	uppgift	0.0
sätt	beteende	6.6
minoritet	fred	0.0
katastrof	område	0.0
mun	läpp	3.0
mil	kilometer	2.2
dator	tangentbord	0.2
pengar	lön	3.8
öga	riva	0.0
öga	tår	0.0
aktie	marknadsföra	0.0
diet	äpple	0.0
flicka	barn	5.4
slug	tuff	0.8
låda	hatt	0.0
uppmuntra	avskräcka	0.2
spendera	spara	0.2
tillkännagivande	nyheter	2.8
basketboll	baseboll	1.0
lärare	hjälpare	0.8
uppgift	sugrör	0.0
gata	aveny	6.2
bebis	mor	0.0
ortodontist	tandläkare	9.0
kalkylering	beräkning	8.0
moral	betydelse	0.0
jaguar	bil	1.0
samla	träffa	0.6
skaldjur	hummer	3.8
hund	katt	1.8
fordon	buss	3.2
vinna	utföra	0.0
prejudikat	grupp	0.0
sjukhus	infrastruktur	0.0
armbåge	vrist	1.2
kläder	trasa	1.8
vinter	sommar	0.2
rikedom	berömmelse	0.2
uppfylla	snälla	0.0
börja	härröra	0.8
börja	sluta	0.2
ta	lämna	0.0
tåg	bil	1.4
näsa	mun	0.2
dålig	omoralisk	3.6
utveckling	problem	0.0
artig	rätt	0.0
kamera	president	0.0
område	zon	8.0
olja	aktie	0.0
annorlunda	vanlig	0.2
aktie	jaguar	0.0
bok	artikel	2.0
kung	kål	0.0
telefon	kommunikation	0.8
muskel	tunga	1.6
dotter	unge	3.2
faktum	insikt	0.6
bok	berättelse	3.4
häst	sto	5.6
mor	fru	1.0
skapa	förstöra	0.2
kulle	klippa	1.4
spel	handling	0.0
skylt	fördjupning	0.0
skylt	paus	0.0
skola	centrum	0.0
skola	mitten	0.0
vagn	behållare	0.0
död	tragedi	2.4
pojke	bror	1.2
lyckas	försöka	0.0
tillkännagivande	ansträngning	0.0
blomma	buske	1.2
pistol	kanon	1.6
tupp	färd	0.0
lycklig	ung	0.0
skönhet	ålder	0.0
dryck	äta	0.0
territorium	yta	5.2
prejudikat	samling	0.0
psykologi	kognition	2.4
prins	kung	3.4
rastlös	ung	0.0
nödvändig	viktig	6.0
doktor	ansvar	0.0
blod	märg	0.2
söder	norr	0.2
kopp	artefakt	0.4
vapen	hemlighet	0.0
män	broderskap	1.2
rädd	ängslig	6.8
Gud	ande	3.0
racket	ljud	0.0
